"Gender","Customer.Type","Age","Class","Flight.Distance","Inflight.wifi.service","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Baggage.handling","Checkin.service","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"Female","Loyal Customer",41,"Business",423,3,3,3,2,4,5,2,2,2,5,0,0,"satisfied"
"Male","Loyal Customer",45,"Business",2217,1,1,1,1,1,1,4,5,3,1,0,6,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business",3600,1,5,2,1,3,4,4,4,1,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business",531,1,5,5,4,3,4,1,1,1,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",63,"Business",1482,4,2,1,1,3,3,4,4,4,1,83,96,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Eco",1126,2,2,3,5,2,5,5,2,4,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business",3838,5,5,5,2,5,4,4,4,4,3,1,0,"satisfied"
"Male","Loyal Customer",25,"Business",2661,1,1,1,1,1,1,1,1,3,3,30,31,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Eco",483,4,3,3,4,4,4,4,3,4,2,0,6,"satisfied"
"Male","disloyal Customer",22,"Business",1047,0,0,3,2,0,2,2,4,4,5,0,0,"satisfied"
"Male","disloyal Customer",29,"Business",542,1,2,3,2,2,2,2,3,3,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",64,"Eco",502,4,4,3,5,4,5,5,3,4,1,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",24,"Business",214,5,5,1,4,5,4,4,5,5,4,10,0,"satisfied"
"Female","Loyal Customer",40,"Eco",282,2,2,3,4,2,4,4,2,4,2,10,6,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Business",907,5,5,5,4,4,4,4,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",39,"Eco",2248,2,2,1,4,2,4,4,5,3,4,19,59,"neutral or dissatisfied"
"Female","Loyal Customer",62,"Business",1914,3,5,5,5,3,3,3,3,3,3,64,48,"neutral or dissatisfied"
"Female","disloyal Customer",20,"Eco",819,5,5,2,3,5,3,3,3,3,2,74,64,"satisfied"
"Male","Loyal Customer",58,"Business",1199,2,3,3,1,4,3,2,2,2,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",9,"Business",2288,4,4,4,4,4,4,4,5,3,4,0,0,"satisfied"
"Male","Loyal Customer",39,"Business",1999,1,1,1,2,5,5,5,5,5,5,0,0,"satisfied"
"Female","Loyal Customer",37,"Business",588,2,2,5,2,3,3,4,3,5,3,154,140,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business",2596,2,2,2,2,4,5,2,2,2,5,0,0,"satisfied"
"Female","disloyal Customer",30,"Business",493,4,4,1,1,4,1,1,2,1,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Eco",929,4,5,5,3,4,3,3,4,4,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",9,"Eco Plus",838,3,3,3,1,3,1,1,3,4,4,33,23,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Business",1538,4,4,4,4,4,4,4,5,2,1,0,6,"satisfied"
"Female","Loyal Customer",41,"Business",594,3,3,1,5,5,4,3,3,3,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business",2773,1,1,1,3,2,1,4,4,4,2,12,20,"satisfied"
"Male","disloyal Customer",23,"Eco",405,2,2,3,2,2,2,2,1,3,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",8,"Eco",364,3,3,4,5,3,2,5,2,3,4,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",28,"Business",406,2,2,2,5,2,5,5,4,4,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",17,"Eco",689,3,3,2,4,3,4,4,5,5,5,17,13,"neutral or dissatisfied"
"Female","Loyal Customer",35,"Business",298,0,0,3,2,3,3,1,1,1,3,0,0,"satisfied"
"Female","Loyal Customer",48,"Business",2127,2,2,2,3,5,5,4,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",46,"Business",1476,3,3,3,1,2,3,4,4,4,1,1,0,"satisfied"
"Female","Loyal Customer",33,"Eco",631,3,3,4,1,3,1,1,1,2,3,16,30,"neutral or dissatisfied"
"Female","Loyal Customer",31,"Eco",1770,5,2,2,5,5,5,5,1,4,4,9,0,"satisfied"
"Female","disloyal Customer",33,"Eco",4817,3,2,1,3,1,1,2,5,3,1,9,0,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Business",2716,3,3,3,5,5,5,5,5,5,3,4,0,"satisfied"
"Male","disloyal Customer",30,"Business",2614,4,4,4,2,4,2,2,3,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Eco Plus",1660,2,2,5,2,2,2,2,1,4,4,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Eco",862,2,1,1,4,1,4,4,1,3,2,15,25,"neutral or dissatisfied"
"Female","Loyal Customer",44,"Business",3542,4,4,4,4,4,4,5,4,4,4,149,138,"satisfied"
"Male","Loyal Customer",48,"Business",351,0,0,3,5,5,4,3,3,3,5,80,76,"satisfied"
"Male","Loyal Customer",35,"Business",1843,1,3,3,4,3,4,1,1,1,2,26,27,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Eco",704,2,2,1,4,2,4,4,4,4,3,2,0,"neutral or dissatisfied"
"Female","Loyal Customer",21,"Eco",853,2,2,5,2,2,2,2,2,1,3,16,15,"neutral or dissatisfied"
"Male","Loyal Customer",80,"Eco",572,3,5,5,3,3,3,3,4,4,2,12,30,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Eco",1407,3,3,1,2,3,2,2,3,4,3,43,41,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Eco",347,1,1,4,1,1,3,1,1,3,3,65,62,"neutral or dissatisfied"
"Male","Loyal Customer",30,"Eco Plus",1050,3,3,3,4,3,4,4,3,4,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",18,"Eco",547,3,3,1,5,3,5,5,4,5,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business",2853,4,4,4,3,5,4,2,2,2,4,0,0,"satisfied"
"Female","Loyal Customer",44,"Business",3541,2,2,2,2,4,3,2,2,2,2,11,18,"neutral or dissatisfied"
"Female","Loyal Customer",12,"Business",2585,4,4,4,4,4,4,3,3,5,4,4,22,"satisfied"
"Male","Loyal Customer",44,"Eco Plus",677,3,3,3,2,3,2,2,4,3,1,0,6,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business",2231,4,4,4,2,5,5,4,4,4,5,0,11,"satisfied"
"Male","Loyal Customer",28,"Business",3380,3,3,3,4,4,4,4,2,3,4,0,5,"satisfied"
"Female","Loyal Customer",30,"Eco",528,2,2,4,4,2,4,4,3,4,3,0,8,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business",3896,4,4,4,3,5,4,4,4,4,3,2,0,"satisfied"
"Male","Loyal Customer",37,"Eco",2475,3,4,3,4,2,2,2,4,4,2,1,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Eco",501,2,2,5,3,2,3,3,3,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Eco",562,4,4,2,3,4,3,3,3,2,1,0,0,"satisfied"
"Female","Loyal Customer",28,"Business",977,3,3,3,3,3,3,3,4,3,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Eco",2288,1,1,4,3,1,3,3,2,4,4,3,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Eco Plus",456,4,4,3,2,3,1,4,4,4,2,0,0,"satisfied"
"Female","Loyal Customer",50,"Eco",1023,3,1,1,5,3,4,2,2,2,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Eco",227,3,3,4,4,3,4,4,3,5,3,36,43,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business",2425,3,3,3,2,5,4,5,5,5,4,0,0,"satisfied"
"Female","Loyal Customer",55,"Business",366,3,1,1,1,3,3,3,3,3,1,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business",235,3,3,3,1,3,1,1,1,3,1,1,6,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business",3733,3,3,3,3,4,4,5,5,5,5,0,0,"satisfied"
"Female","disloyal Customer",26,"Business",1101,3,3,4,3,3,3,3,4,5,4,0,12,"neutral or dissatisfied"
"Male","disloyal Customer",29,"Business",1242,4,4,3,4,4,4,4,4,4,4,0,0,"satisfied"
"Male","Loyal Customer",16,"Business",909,3,3,4,5,3,5,5,5,3,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",16,"Eco",1411,4,4,4,4,4,5,4,1,2,5,30,136,"satisfied"
"Male","disloyal Customer",36,"Business",285,3,3,5,1,3,1,1,5,4,2,9,0,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business",2389,0,0,5,3,5,4,5,5,5,3,0,0,"satisfied"
"Female","Loyal Customer",11,"Eco",1061,3,3,3,3,3,2,3,4,4,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",48,"Eco",1389,0,0,4,2,2,2,3,3,3,4,0,0,"satisfied"
"Male","Loyal Customer",27,"Eco Plus",391,5,4,4,5,5,5,5,4,5,4,0,1,"satisfied"
"Male","Loyal Customer",38,"Eco Plus",838,5,1,1,5,5,5,5,3,2,2,0,0,"satisfied"
"Male","Loyal Customer",34,"Eco",1671,2,2,3,2,2,2,2,3,3,2,22,10,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Eco",859,4,3,4,5,3,5,5,3,4,3,0,2,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business",507,2,2,2,5,5,4,2,2,2,4,0,0,"satisfied"
"Female","disloyal Customer",21,"Eco",197,2,2,4,1,2,1,1,2,3,4,13,10,"neutral or dissatisfied"
"Female","disloyal Customer",22,"Eco",335,4,4,3,1,4,1,1,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",42,"Business",347,1,1,1,2,4,5,5,5,5,5,0,0,"satisfied"
"Female","Loyal Customer",16,"Eco",359,2,2,5,2,2,3,2,5,4,5,70,67,"neutral or dissatisfied"
"Male","disloyal Customer",36,"Business",935,3,3,4,1,3,1,1,3,4,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",54,"Eco",77,2,4,4,3,2,3,3,2,4,4,4,6,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Eco",332,3,4,4,2,4,2,2,1,2,1,43,29,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Business",444,3,5,5,2,2,2,3,3,3,4,13,4,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Eco",1005,1,1,5,1,1,1,1,5,5,5,6,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business",3626,2,2,2,4,5,4,5,5,5,3,35,36,"satisfied"
"Female","Loyal Customer",48,"Eco",1709,4,4,4,4,3,2,3,3,3,3,112,118,"satisfied"
"Female","Loyal Customer",49,"Eco",646,2,2,4,2,4,4,5,5,5,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Business",2941,1,1,1,3,5,5,4,4,4,5,31,14,"satisfied"
"Male","Loyal Customer",42,"Eco",785,1,2,2,1,2,1,1,4,4,5,22,23,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Eco",946,3,3,3,4,3,4,4,4,3,4,0,10,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Business",3395,3,3,3,4,4,5,5,5,5,5,0,4,"satisfied"
"Female","Loyal Customer",37,"Business",2446,5,5,5,2,3,5,5,5,5,4,0,0,"satisfied"
"Male","Loyal Customer",48,"Business",1514,5,5,5,5,5,5,5,5,5,4,0,0,"satisfied"
"Male","Loyal Customer",58,"Business",1111,5,5,5,5,5,5,4,4,4,3,27,13,"satisfied"
"Female","disloyal Customer",36,"Eco",271,3,3,4,5,3,5,5,3,4,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business",335,1,1,1,3,4,5,5,5,5,3,0,0,"satisfied"
"Female","Loyal Customer",23,"Business",3686,2,2,2,5,5,5,5,3,4,5,11,6,"satisfied"
"Female","Loyal Customer",48,"Business",787,5,5,5,2,4,5,4,4,4,5,1,11,"satisfied"
"Female","Loyal Customer",67,"Eco",666,1,1,5,2,4,2,5,5,5,5,9,94,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business",526,2,4,4,3,2,1,2,2,2,2,7,0,"neutral or dissatisfied"
"Male","disloyal Customer",17,"Eco",1078,2,2,1,1,2,1,1,1,5,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",12,"Eco",925,4,3,3,4,3,4,4,2,4,1,2,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business",3879,2,5,5,3,2,1,2,2,2,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Business",447,5,5,5,5,5,5,5,2,3,5,79,89,"satisfied"
"Female","Loyal Customer",14,"Eco",2917,3,3,2,3,3,3,3,2,2,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Eco",868,3,3,1,4,3,4,4,4,3,4,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",47,"Business",930,3,3,3,4,3,4,4,3,4,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Eco Plus",551,3,3,3,4,4,4,4,4,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business",3040,4,4,4,4,4,4,4,3,3,1,0,0,"satisfied"
"Female","Loyal Customer",20,"Business",2191,1,5,5,1,1,1,1,4,3,2,102,92,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Eco",1055,2,4,4,2,2,2,2,1,3,1,13,18,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Eco",192,3,3,1,3,3,3,3,4,5,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Eco",315,5,5,5,5,5,5,5,4,2,4,41,69,"satisfied"
"Female","Loyal Customer",13,"Eco",354,4,4,4,1,4,1,1,1,3,2,2,7,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Business",1235,5,5,5,3,3,3,3,3,4,5,0,0,"satisfied"
"Female","Loyal Customer",43,"Business",2248,3,3,3,5,5,4,4,4,4,5,5,0,"satisfied"
"Female","Loyal Customer",40,"Business",3018,3,3,3,5,1,3,5,5,5,4,70,72,"satisfied"
"Female","Loyal Customer",54,"Business",2301,2,3,3,5,4,4,3,3,2,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",62,"Eco",192,1,1,1,1,3,3,1,1,1,3,5,18,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business",2784,5,5,5,4,5,5,4,4,4,5,0,5,"satisfied"
"Female","Loyal Customer",12,"Eco Plus",542,2,4,4,2,2,4,2,2,3,2,35,32,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Business",1416,4,1,1,2,2,3,4,4,4,4,0,10,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business",2174,3,3,3,5,4,5,5,5,5,3,1,0,"satisfied"
"Male","Loyal Customer",36,"Business",2934,4,4,4,5,5,5,5,5,5,5,4,7,"satisfied"
"Male","Loyal Customer",67,"Business",2965,2,2,2,4,4,5,4,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",48,"Business",473,3,4,3,3,3,3,3,3,3,1,4,0,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business",390,1,1,1,4,5,4,4,4,4,4,22,19,"satisfied"
"Female","Loyal Customer",27,"Business",2871,5,5,5,5,5,5,5,3,5,3,0,9,"satisfied"
"Male","Loyal Customer",39,"Eco",867,3,3,4,5,3,4,5,2,4,4,0,13,"neutral or dissatisfied"
"Female","Loyal Customer",12,"Eco",196,4,4,1,1,4,1,1,3,5,4,0,0,"satisfied"
"Male","disloyal Customer",36,"Business",345,1,1,4,1,1,1,1,4,4,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Eco",1023,4,4,1,4,3,4,4,4,4,4,0,0,"satisfied"
"Male","Loyal Customer",53,"Business",605,4,4,4,4,4,5,4,4,4,4,51,38,"satisfied"
"Female","Loyal Customer",38,"Business",261,2,5,2,4,5,3,4,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",51,"Business",86,3,4,3,2,3,2,1,1,3,3,21,16,"neutral or dissatisfied"
"Female","Loyal Customer",38,"Business",3829,1,0,4,5,4,4,4,4,4,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",11,"Business",223,1,0,1,3,0,3,3,4,4,5,47,59,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Eco",669,2,2,2,1,2,1,1,3,4,4,26,19,"neutral or dissatisfied"
"Male","Loyal Customer",36,"Eco",327,1,4,5,1,1,1,1,3,4,1,37,29,"neutral or dissatisfied"
"Male","Loyal Customer",18,"Eco",2454,1,2,3,4,2,4,4,4,4,5,9,0,"neutral or dissatisfied"
"Female","disloyal Customer",23,"Eco",550,3,3,3,3,3,2,3,1,3,3,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",40,"Business",666,4,4,4,2,4,2,2,5,4,5,0,0,"satisfied"
"Female","Loyal Customer",23,"Business",1020,3,5,5,3,3,3,3,2,3,2,75,53,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Eco",547,2,2,2,3,2,4,3,1,4,4,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",26,"Eco",67,4,4,2,5,4,5,5,1,1,5,11,10,"neutral or dissatisfied"
"Female","disloyal Customer",11,"Eco",804,3,3,1,5,3,2,5,4,4,5,8,0,"neutral or dissatisfied"
"Female","disloyal Customer",38,"Business",746,2,1,4,5,1,5,5,4,4,3,25,17,"neutral or dissatisfied"
"Male","disloyal Customer",21,"Eco",399,5,5,2,4,5,4,4,5,4,3,13,14,"satisfied"
"Male","Loyal Customer",26,"Business",666,5,1,5,4,4,4,4,3,4,5,0,0,"satisfied"
"Female","Loyal Customer",48,"Business",1943,1,1,1,3,5,5,5,5,5,4,0,0,"satisfied"
"Female","Loyal Customer",65,"Eco Plus",413,1,2,3,3,5,5,4,4,4,3,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",27,"Business",545,4,4,3,2,4,1,2,5,5,4,0,0,"satisfied"
"Female","Loyal Customer",49,"Eco",562,2,2,4,2,4,4,2,2,2,3,39,30,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Eco Plus",1744,4,1,1,4,4,4,4,2,2,2,76,57,"neutral or dissatisfied"
"Male","Loyal Customer",34,"Eco",946,1,1,4,3,1,3,3,1,3,1,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",20,"Eco",842,3,3,4,4,3,4,4,1,4,2,8,0,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Eco",300,2,2,3,2,4,5,5,5,5,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Business",1710,1,0,4,5,0,5,5,1,4,2,125,118,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business",224,3,3,3,5,4,5,5,5,5,4,0,0,"satisfied"
"Female","Loyal Customer",43,"Business",3281,4,4,4,4,1,5,5,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",56,"Business",3181,1,1,1,5,5,4,5,5,5,4,8,0,"satisfied"
"Female","Loyal Customer",43,"Eco",135,5,0,3,5,5,4,4,4,4,4,0,0,"satisfied"
"Female","Loyal Customer",57,"Business",1656,2,1,1,2,3,3,2,2,2,1,11,29,"neutral or dissatisfied"
"Male","disloyal Customer",18,"Eco",828,3,3,3,3,3,3,3,4,4,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",21,"Eco",503,3,3,1,4,3,4,4,5,5,5,16,26,"neutral or dissatisfied"
"Female","Loyal Customer",44,"Business",2500,1,1,1,3,4,4,5,5,5,5,22,12,"satisfied"
"Female","Loyal Customer",13,"Business",2454,2,2,2,5,4,5,5,3,4,5,3,0,"satisfied"
"Male","Loyal Customer",28,"Eco",731,2,2,2,3,2,3,3,4,5,4,13,9,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Eco",280,5,2,2,4,4,1,5,5,5,2,0,9,"satisfied"
"Female","Loyal Customer",41,"Business",101,3,3,3,3,2,5,4,4,4,2,0,3,"satisfied"
"Female","disloyal Customer",20,"Eco",1394,2,1,4,2,4,4,3,5,4,4,0,3,"neutral or dissatisfied"
"Female","Loyal Customer",11,"Business",2869,1,4,4,1,1,1,1,4,4,1,2,17,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Eco Plus",1072,1,1,2,5,1,5,5,3,2,4,14,6,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Eco",1185,4,4,2,2,4,2,2,1,3,2,1,7,"neutral or dissatisfied"
"Female","Loyal Customer",21,"Eco",2125,3,3,4,3,3,3,3,2,4,1,4,0,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Business",266,5,5,5,5,5,5,5,4,4,1,0,0,"satisfied"
"Male","Loyal Customer",15,"Business",414,0,0,2,2,0,2,2,4,2,4,0,0,"satisfied"
"Male","Loyal Customer",36,"Business",3228,4,4,4,4,4,4,4,4,3,4,176,175,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Eco",1107,2,2,1,2,2,2,2,2,5,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business",2265,3,3,3,3,4,4,5,5,5,5,1,3,"satisfied"
"Female","disloyal Customer",26,"Business",594,3,3,2,2,3,2,2,3,4,4,29,25,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business",370,2,2,2,4,4,4,4,4,4,5,19,12,"satisfied"
"Male","Loyal Customer",32,"Eco",692,1,1,3,3,1,3,3,2,2,4,27,9,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Business",2396,2,2,2,4,4,4,5,5,5,3,9,0,"satisfied"
"Male","Loyal Customer",47,"Business",2432,2,2,2,2,4,3,2,2,2,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business",601,3,3,3,2,4,5,5,5,5,3,0,0,"satisfied"
"Female","Loyal Customer",44,"Business",2998,5,5,5,5,4,5,4,4,4,4,21,15,"satisfied"
"Male","Loyal Customer",46,"Eco",647,3,3,1,4,3,4,4,4,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Eco",647,3,3,4,2,3,2,2,3,3,1,10,27,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Eco",1013,3,3,3,5,3,5,5,4,1,3,17,57,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Business",1670,5,5,5,3,3,4,3,3,3,4,10,17,"satisfied"
"Female","Loyal Customer",40,"Eco Plus",359,5,1,4,5,5,5,5,4,1,2,0,0,"satisfied"
"Male","disloyal Customer",23,"Eco",1428,2,2,2,2,2,2,2,4,5,3,0,7,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business",1597,1,1,1,2,5,5,3,3,3,4,7,5,"satisfied"
"Female","Loyal Customer",31,"Eco",909,5,5,3,5,5,5,5,1,2,1,4,4,"satisfied"
"Female","disloyal Customer",18,"Eco",650,4,4,2,4,4,4,4,4,4,3,0,0,"satisfied"
"Female","Loyal Customer",51,"Eco",328,3,4,4,1,4,4,3,3,3,3,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business",95,5,5,3,1,5,1,1,3,4,5,0,0,"satisfied"
"Female","Loyal Customer",48,"Business",335,2,2,2,2,5,4,4,4,4,3,0,8,"satisfied"
"Male","Loyal Customer",50,"Eco",270,3,3,3,5,3,5,5,4,4,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",18,"Eco",678,1,1,2,4,1,4,4,5,5,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Business",2413,3,3,3,5,5,5,4,4,4,3,0,0,"satisfied"
"Female","Loyal Customer",58,"Eco",620,3,2,3,3,5,5,3,3,3,4,15,4,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Eco",296,2,2,3,5,2,5,5,5,5,4,14,11,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business",3723,5,5,5,4,4,4,5,5,5,4,1,0,"satisfied"
"Male","Loyal Customer",34,"Eco",2475,2,2,4,1,2,1,1,5,4,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",20,"Eco",201,5,3,3,5,5,5,5,5,2,5,0,2,"satisfied"
"Male","Loyal Customer",36,"Business",268,5,5,5,1,4,1,4,4,4,1,0,0,"satisfied"
"Male","Loyal Customer",53,"Business",2976,2,2,2,4,5,4,5,5,5,5,10,1,"satisfied"
"Male","Loyal Customer",10,"Business",2095,3,2,2,3,3,3,3,4,3,1,51,40,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Business",2218,5,3,5,5,4,4,4,4,4,4,0,0,"satisfied"
"Female","Loyal Customer",43,"Business",883,1,2,1,4,5,4,5,5,5,5,0,10,"satisfied"
"Male","Loyal Customer",67,"Eco",620,4,5,2,4,4,4,4,5,1,3,6,0,"satisfied"
"Male","disloyal Customer",23,"Eco",950,2,2,3,5,2,5,5,4,5,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Eco",391,2,5,5,2,2,2,2,3,1,1,0,0,"satisfied"
"Male","disloyal Customer",23,"Eco",1034,2,2,1,2,2,3,2,1,1,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",14,"Eco",414,3,3,3,3,4,2,1,3,4,2,141,129,"neutral or dissatisfied"
"Female","Loyal Customer",17,"Eco",1947,4,4,4,2,4,3,2,3,5,3,3,0,"neutral or dissatisfied"
"Male","disloyal Customer",47,"Eco",425,3,3,2,1,3,2,1,4,2,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Eco Plus",850,2,1,1,5,2,2,2,2,2,3,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",27,"Business",455,3,3,2,3,3,3,5,4,4,3,161,200,"neutral or dissatisfied"
"Male","Loyal Customer",14,"Business",1201,2,2,2,4,4,4,4,4,5,4,5,1,"satisfied"
"Male","disloyal Customer",29,"Eco",987,2,2,1,1,2,1,1,2,3,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",35,"Business",2845,4,4,4,4,5,4,4,4,4,3,54,21,"satisfied"
"Female","Loyal Customer",52,"Eco",909,2,5,5,5,4,3,3,3,3,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business",192,1,0,4,3,0,3,3,5,4,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",38,"Eco",493,5,2,2,5,5,5,5,3,5,4,0,0,"satisfied"
"Male","Loyal Customer",37,"Eco",280,2,1,1,2,2,2,2,5,1,1,0,0,"satisfied"
"Male","Loyal Customer",22,"Business",1990,5,5,5,5,5,5,5,5,5,4,0,0,"satisfied"
"Male","Loyal Customer",20,"Business",1607,2,4,4,2,2,2,2,1,1,2,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",39,"Business",1190,3,3,5,5,3,5,5,5,2,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Eco",214,4,1,1,4,4,4,4,3,3,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business",1927,3,3,3,4,3,4,5,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",34,"Business",1587,1,4,4,1,2,2,1,1,1,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Eco",1605,2,2,4,3,2,2,3,5,4,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Eco Plus",451,1,1,4,2,1,2,2,4,3,4,20,19,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Eco Plus",114,5,5,5,5,5,5,5,4,3,4,58,48,"satisfied"
"Male","Loyal Customer",37,"Business",2637,2,2,2,2,5,5,4,4,4,4,0,4,"satisfied"
